Name,Team,GP,,G,,A,,Pts,,+/-,,PIM,,Hits,,BkS,,FW,,FL,,FO%,,PPG,,PPA,,SHG,,SHA,,GW,,SOG,,Pct,
 Nikita Kucherov,TAM,18,,9,,13,,22,,10,,8,,2,,8,,0,,0,,N/A,,2,,5,,0,,0,,3,,47,,0.191,
 Mark Scheifele,WPG,20,,10,,12,,22,,6,,18,,20,,10,,173,,226,,0.434,,3,,2,,0,,0,,1,,49,,0.204,
 Connor McDavid,EDM,19,,8,,14,,22,,4,,8,,3,,8,,119,,145,,0.451,,0,,5,,0,,0,,2,,53,,0.151,
 Tyler Seguin,DAL,19,,7,,14,,21,,-8,,6,,16,,3,,139,,126,,0.525,,4,,6,,0,,0,,1,,69,,0.101,
 Steven Stamkos,TAM,17,,9,,11,,20,,3,,14,,21,,3,,106,,92,,0.535,,3,,4,,0,,0,,1,,58,,0.155,
 Patrick Kane,CHI,19,,6,,14,,20,,5,,12,,6,,2,,3,,14,,0.176,,1,,4,,0,,0,,2,,64,,0.094,
 Vladimir Tarasenko,STL,19,,7,,12,,19,,0,,0,,4,,8,,0,,1,,0,,2,,7,,0,,0,,1,,71,,0.099,
 Alex Galchenyuk,MON,19,,7,,12,,19,,12,,10,,9,,9,,85,,130,,0.395,,2,,4,,0,,0,,1,,36,,0.194,
 Patrik Laine,WPG,20,,12,,6,,18,,-1,,6,,20,,10,,0,,2,,0,,5,,2,,0,,0,,2,,55,,0.218,
 Artem Anisimov,CHI,18,,8,,10,,18,,12,,14,,10,,4,,116,,154,,0.43,,1,,3,,0,,0,,3,,26,,0.308,
 Artemi Panarin,CHI,19,,7,,11,,18,,12,,13,,7,,1,,1,,0,,1,,2,,2,,0,,0,,1,,51,,0.137,
 Jakub Voracek,PHI,19,,7,,10,,17,,-8,,30,,6,,4,,0,,4,,0,,0,,6,,0,,0,,1,,70,,0.1,
 James van Riemsdyk,TOR,18,,8,,9,,17,,0,,8,,20,,12,,1,,3,,0.25,,0,,3,,0,,0,,1,,54,,0.148,
 Claude Giroux,PHI,19,,4,,13,,17,,-9,,4,,14,,3,,224,,188,,0.544,,3,,7,,0,,0,,0,,48,,0.083,
 Brad Marchand,BOS,18,,6,,11,,17,,8,,16,,10,,7,,9,,6,,0.6,,1,,2,,0,,0,,3,,45,,0.133,
 Nikolaj Ehlers,WPG,20,,4,,13,,17,,1,,8,,11,,7,,0,,1,,0,,0,,2,,0,,0,,1,,48,,0.083,
 J.T. Miller,NYR,18,,7,,10,,17,,14,,8,,25,,15,,24,,35,,0.407,,1,,1,,0,,0,,1,,42,,0.167,
 Marian Hossa,CHI,18,,11,,6,,17,,6,,6,,5,,11,,4,,4,,0.5,,3,,3,,0,,0,,3,,46,,0.239,
 Phil Kessel,PIT,18,,4,,12,,16,,-3,,8,,6,,5,,0,,4,,0,,3,,6,,0,,0,,1,,40,,0.1,
 Sidney Crosby,PIT,12,,12,,4,,16,,3,,2,,14,,2,,130,,155,,0.456,,5,,1,,0,,0,,1,,43,,0.279,
 Joe Pavelski,SAN,18,,6,,10,,16,,3,,12,,31,,24,,102,,96,,0.515,,2,,3,,0,,0,,2,,53,,0.113,
 Alexander Radulov,MON,17,,3,,13,,16,,8,,18,,22,,9,,2,,0,,1,,1,,4,,0,,0,,0,,28,,0.107,
 Nick Foligno,COB,15,,6,,10,,16,,5,,16,,22,,9,,13,,12,,0.52,,2,,5,,0,,0,,0,,26,,0.231,
 Evgeni Malkin,PIT,18,,8,,8,,16,,1,,32,,9,,9,,121,,159,,0.432,,1,,6,,0,,0,,1,,49,,0.163,
 Mitchell Marner,TOR,18,,7,,9,,16,,-2,,14,,9,,12,,6,,5,,0.545,,1,,2,,0,,0,,3,,49,,0.143,
 Wayne Simmonds,PHI,19,,9,,7,,16,,-6,,17,,38,,17,,1,,1,,0.5,,5,,3,,1,,0,,0,,49,,0.184,
 Kevin Hayes,NYR,18,,8,,8,,16,,15,,4,,10,,14,,102,,115,,0.47,,0,,1,,1,,0,,1,,25,,0.32,
 Nicklas Backstrom,WAS,17,,4,,11,,15,,1,,6,,16,,6,,151,,124,,0.549,,0,,6,,0,,0,,1,,35,,0.114,
 Jamie Benn,DAL,19,,5,,10,,15,,-7,,25,,31,,10,,91,,77,,0.542,,4,,2,,0,,0,,1,,49,,0.102,
 Alexander Wennberg,COB,15,,2,,13,,15,,7,,2,,18,,12,,105,,126,,0.455,,0,,8,,0,,0,,0,,17,,0.118,
 Shea Weber,MON,19,,7,,8,,15,,16,,10,,48,,45,,0,,0,,N/A,,6,,2,,0,,1,,3,,47,,0.149,
 Jonathan Marchessault,FLA,18,,9,,6,,15,,3,,4,,24,,5,,42,,38,,0.525,,2,,3,,0,,0,,2,,54,,0.167,
 Ryan Getzlaf,ANA,15,,1,,14,,15,,-2,,8,,15,,11,,112,,105,,0.516,,0,,5,,0,,0,,0,,32,,0.031,
 Corey Perry,ANA,18,,4,,11,,15,,-3,,14,,17,,5,,0,,4,,0,,0,,7,,0,,0,,0,,56,,0.071,
 Patrick Eaves,DAL,18,,9,,6,,15,,-5,,4,,22,,13,,0,,1,,0,,5,,3,,0,,0,,1,,46,,0.196,
 Brent Burns,SAN,18,,6,,8,,14,,0,,4,,19,,35,,0,,0,,N/A,,1,,2,,0,,0,,1,,80,,0.075,
 Cam Atkinson,COB,15,,5,,9,,14,,-4,,4,,7,,8,,2,,0,,1,,4,,4,,0,,0,,2,,43,,0.116,
 Erik Karlsson,OTT,18,,3,,11,,14,,2,,8,,14,,47,,0,,0,,N/A,,1,,2,,0,,1,,0,,44,,0.068,
 Mika Zibanejad,NYR,18,,4,,10,,14,,1,,6,,6,,8,,166,,151,,0.524,,0,,5,,0,,0,,0,,43,,0.093,
 Duncan Keith,CHI,19,,0,,14,,14,,7,,6,,5,,19,,0,,0,,N/A,,0,,3,,0,,0,,0,,44,,0,
 William Nylander,TOR,18,,6,,8,,14,,-3,,6,,4,,8,,32,,42,,0.432,,4,,4,,0,,0,,0,,46,,0.13,
 Ryan Kesler,ANA,18,,8,,6,,14,,9,,22,,32,,17,,241,,156,,0.607,,5,,2,,0,,0,,2,,40,,0.2,
