player,age,team,gp,w,l,ga,sa,sv,svpct,gaa,season
Jake Allen\allenja01,27,STL,59,27,25,152,1614,1462,0.906,2.75,2018
Frederik Andersen\anderfr01,28,TOR,66,38,21,182,2211,2029,0.918,2.81,2018
Craig Anderson\andercr01,36,OTT,58,23,25,180,1768,1588,0.898,3.32,2018
Ken Appleby\appleke01,22,NJD,3,0,1,3,55,52,0.945,1.45,2018
Jonathan Bernier\bernijo01,29,COL,37,19,13,95,1092,997,0.913,2.85,2018
Reto Berra\berrare01,31,ANA,5,1,1,7,95,88,0.926,2.31,2018
Jean-Francois Berube\berubje02,26,CHI,13,3,6,42,398,356,0.894,3.78,2018
Ben Bishop\bishobe01,31,DAL,53,26,17,120,1437,1317,0.916,2.49,2018
Sergei Bobrovsky\bobrose01,29,CBJ,65,37,22,158,1993,1835,0.921,2.42,2018
Laurent Brossoit\brossla01,24,EDM,14,3,7,40,343,303,0.883,3.24,2018
Peter Budaj\budajpe01,35,TBL,8,3,3,27,217,190,0.876,3.76,2018
Jack Campbell\campbja01,26,LAK,5,2,0,11,145,134,0.924,2.48,2018
Eric Comrie\comrier01,22,WPG,3,1,2,12,94,82,0.872,3.99,2018
Mike Condon\condomi01,27,OTT,31,5,17,88,898,810,0.902,3.25,2018
Jared Coreau\coreaja01,26,DET,7,0,5,27,203,176,0.867,4.26,2018
Corey Crawford\crawfco01,33,CHI,28,16,9,60,842,782,0.929,2.27,2018
Oscar Dansk\danskos01,23,VEG,4,3,0,5,93,88,0.946,1.78,2018
Scott Darling\darlisc01,29,CAR,43,13,21,131,1171,1040,0.888,3.18,2018
Collin Delia\deliaco01,23,CHI,2,1,1,7,63,56,0.889,3.96,2018
Aaron Dell\dellaa01,28,SJS,29,15,5,67,775,708,0.914,2.64,2018
Thatcher Demko\demkoth01,22,VAN,1,1,0,4,30,26,0.867,3.91,2018
Casey DeSmith\desmica01,26,PIT,14,6,4,28,356,328,0.921,2.4,2018
Louis Domingue\dominlo01,25,TOT,19,7,9,61,578,517,0.894,3.41,2018
Devan Dubnyk\dubnyde01,31,MIN,60,35,16,145,1769,1624,0.918,2.52,2018
Brian Elliott\elliobr01,32,PHI,43,23,11,112,1228,1116,0.909,2.66,2018
Dylan Ferguson\fergudy01,19,VEG,1,0,0,1,2,1,0.5,6.5,2018
Marc-Andre Fleury\fleurma01,33,VEG,46,29,13,100,1376,1276,0.927,2.24,2018
Anton Forsberg\forsban01,25,CHI,35,10,16,85,921,836,0.908,2.97,2018
Scott Foster\fostesc01,36,CHI,1,0,0,0,7,7,1.0,0.0,2018
Alexandar Georgiev\georgal01,21,NYR,10,4,4,27,331,304,0.918,3.15,2018
Christopher Gibson\gibsoch01,25,NYI,8,2,3,26,284,258,0.908,3.65,2018
John Gibson\gibsojo02,24,ANA,60,31,18,139,1872,1733,0.926,2.43,2018
Jon Gillies\gillijo01,24,CGY,11,3,5,29,280,251,0.896,2.88,2018
Jeff Glass\glassje01,32,CHI,15,3,7,46,452,406,0.898,3.36,2018
Thomas Greiss\greisth01,32,NYI,27,13,8,95,879,784,0.892,3.82,2018
Philipp Grubauer\grubaph01,26,WSH,35,15,10,73,953,880,0.923,2.35,2018
Jaroslav Halak\halakja01,32,NYI,54,20,26,161,1744,1583,0.908,3.19,2018
Brandon Halverson\halvebr01,21,NYR,1,0,0,1,6,5,0.833,4.78,2018
Andrew Hammond\hammoan01,29,COL,1,0,1,2,33,31,0.939,2.06,2018
Connor Hellebuyck\helleco01,24,WPG,67,44,11,156,2048,1892,0.924,2.36,2018
Adin Hill\hillad01,21,ARI,4,1,3,14,129,115,0.891,3.49,2018
Braden Holtby\holtbbr01,28,WSH,54,34,16,153,1648,1495,0.907,2.99,2018
Jimmy Howard\howarja02,33,DET,60,22,27,160,1770,1610,0.91,2.85,2018
Michael Hutchinson\hutchmi01,27,WPG,3,2,1,7,75,68,0.907,3.26,2018
Carter Hutton\huttoca01,32,STL,32,17,7,56,810,754,0.931,2.09,2018
Tristan Jarry\jarrytr01,22,PIT,26,14,6,63,687,624,0.908,2.77,2018
Chad Johnson\johnsch02,31,BUF,36,10,16,105,962,857,0.891,3.55,2018
Martin Jones\jonesma02,28,SJS,60,30,22,145,1699,1554,0.915,2.55,2018
Anton Khudobin\khudoan01,31,BOS,31,16,6,76,876,800,0.913,2.56,2018
Keith Kinkaid\kinkake01,28,NJD,41,26,10,106,1214,1108,0.913,2.77,2018
Joonas Korpisalo\korpijo01,23,CBJ,18,8,8,58,564,506,0.897,3.32,2018
Darcy Kuemper\kuempda01,27,TOT,29,12,7,67,833,766,0.92,2.52,2018
Eddie Lack\lacked01,30,TOT,8,2,4,23,177,154,0.87,4.02,2018
Maxime Lagace\lagacma01,25,VEG,16,6,7,57,430,373,0.867,3.92,2018
Marek Langhamer\langhma01,23,ARI,1,0,0,0,10,10,1.0,0.0,2018
